21 November 2007 12:00:13 PM

MD
  C++ version

  A molecular dynamics program, which has been
  modified to include OpenMP directives.
  The OpenMP directives allow the program to be
  run in parallel.


  The number of processors available:
  OMP_GET_NUM_PROCS () =    1

  The number of threads available:
  OMP_GET_NUM_THREADS () =  1

  This is processor 0

  Initialize positions, velocities, and accelerations.

  Compute initial forces and energies.

  Initial Total energy = 124406

      Step      Pot Energy      Kin Energy     (P+K-E0)/E0

       152          124406        0.189871     1.00732e-11
       153          124406        0.192404     9.93643e-12
       154          124406        0.194953     9.79852e-12
       155          124406        0.197519     9.66003e-12
       156          124406        0.200102     9.51451e-12
       157          124406        0.202701     9.37169e-12
       158          124406        0.205318     9.22548e-12
       159          124406        0.207951     9.08161e-12
       160          124406        0.210601       8.932e-12
       161          124406        0.213268     8.77877e-12
       162          124406        0.215952     8.62647e-12
       163          124406        0.218652     8.47125e-12
       164          124406        0.221369     8.31404e-12
       165          124406        0.224103     8.15426e-12
       166          124406        0.226854     7.99015e-12
       167          124406        0.229622     7.82885e-12
       168          124406        0.232406     7.66404e-12
       169          124406        0.235207     7.50005e-12
       170          124406        0.238025     7.33032e-12
       171          124406         0.24086     7.15802e-12
       172          124406        0.243712     6.98608e-12
       173          124406         0.24658     6.81027e-12
       174          124406        0.249465     6.63212e-12
       175          124406        0.252367     6.45351e-12
       176          124406        0.255286     6.27513e-12
       177          124406        0.258222      6.0895e-12
       178          124406        0.261174     5.90644e-12
       179          124406        0.264143     5.71963e-12
       180          124406        0.267129     5.52885e-12
       181          124406        0.270132     5.34018e-12
       182          124406        0.273152     5.13981e-12
       183          124406        0.276188     4.94739e-12
       184          124406        0.279242     4.74948e-12
       185          124406        0.282312     4.55016e-12
       186          124406        0.285399     4.34581e-12
       187          124406        0.288502     4.14147e-12
       188          124406        0.291623     3.93782e-12
       189          124406         0.29476     3.72739e-12
       190          124406        0.297914      3.5131e-12
       191          124406        0.301085     3.30197e-12
       192          124406        0.304273     3.08487e-12
       193          124406        0.307478     2.86567e-12
       194          124406        0.310699     2.64342e-12
       195          124406        0.313937     2.42469e-12
       196          124406        0.317192     2.19765e-12
       197          124406        0.320464     1.97096e-12
       198          124406        0.323753     1.73737e-12
       199          124406        0.327058     1.50705e-12
       200          124406        0.330381     1.27404e-12
       201          124406         0.33372     1.03554e-12
       202          124406        0.337076     7.95752e-13
       203          124406        0.340448     5.53271e-13
       204          124406        0.343838     3.09388e-13
       205          124406        0.347244     6.53866e-14
       206          124406        0.350668    -1.84112e-13
       207          124406        0.354108    -4.36418e-13
       208          124406        0.357564    -6.90361e-13
       209          124406        0.361038    -9.46176e-13
       210          124406        0.364529    -1.20562e-12
       211          124406        0.368036    -1.46927e-12
       212          124406         0.37156    -1.73011e-12
       213          124406        0.375101    -2.00067e-12
       214          124406        0.378659    -2.26818e-12
       215          124406        0.382234    -2.53733e-12
       216          124406        0.385825    -2.81724e-12
       217          124406        0.389433    -3.09013e-12
       218          124406        0.393058      -3.367e-12
       219          124406          0.3967    -3.65194e-12
       220          124406        0.400359    -3.93595e-12
       221          124406        0.404035    -4.22054e-12
       222          124406        0.407727    -4.50957e-12
       223          124406        0.411436    -4.80551e-12
       224          124406        0.415163    -5.10226e-12
       225          124406        0.418906    -5.39621e-12
       226          124406        0.422665    -5.69694e-12
       227          124406        0.426442    -5.99826e-12
       228          124406        0.430235    -6.30472e-12
       229          124406        0.434046    -6.61621e-12
       230          124406        0.437873    -6.92525e-12
       231          124406        0.441717    -7.23686e-12
       232          124406        0.445578    -7.55397e-12
       233          124406        0.449455    -7.87388e-12
       234          124406         0.45335    -8.19754e-12
       235          124406        0.457261    -8.52026e-12
       236          124406        0.461189    -8.84837e-12
       237          124406        0.465134    -9.17881e-12
       238          124406        0.469096    -9.51405e-12
       239          124406        0.473075    -9.85081e-12
       240          124406         0.47707    -1.01863e-11
       241          124406        0.481083    -1.05334e-11
       242          124406        0.485112    -1.08782e-11
       243          124406        0.489158    -1.12226e-11
       244          124406        0.493221    -1.15751e-11
       245          124406          0.4973    -1.19283e-11
       246          124406        0.501397    -1.22841e-11
       247          124406         0.50551    -1.26455e-11
       248          124406        0.509641    -1.30047e-11
       249          124406        0.513788    -1.33702e-11
       250          124406        0.517952    -1.37367e-11
       251          124406        0.522133    -1.41083e-11
       252          124406        0.526331    -1.44834e-11
       253          124406        0.530545     -1.4858e-11
       254          124406        0.534776    -1.52434e-11
       255          124406        0.539025    -1.56269e-11
       256          124406         0.54329      -1.601e-11
       257          124406        0.547572    -1.63995e-11
       258          124406        0.551871    -1.67867e-11
       259          124406        0.556186    -1.71871e-11
       260          124406        0.560519    -1.75867e-11
       261          124406        0.564868    -1.79844e-11
       262          124406        0.569235    -1.83901e-11
       263          124406        0.573618    -1.88021e-11
       264          124406        0.578018    -1.92047e-11
       265          124406        0.582435    -1.96216e-11
       266          124406        0.586868    -2.00376e-11
       267          124406        0.591319    -2.04569e-11
       268          124406        0.595786    -2.08845e-11
       269          124406        0.600271    -2.13091e-11
       270          124406        0.604772    -2.17402e-11
       271          124406         0.60929    -2.21732e-11
       272          124406        0.613825    -2.26035e-11
       273          124406        0.618377    -2.30498e-11
       274          124406        0.622945    -2.34891e-11
       275          124406        0.627531     -2.3936e-11
       276          124406        0.632133    -2.43869e-11
       277          124406        0.636752    -2.48406e-11
       278          124406        0.641389     -2.5295e-11
       279          124406        0.646042    -2.57551e-11
       280          124406        0.650711    -2.62138e-11
       281          124406        0.655398    -2.66822e-11
       282          124406        0.660102     -2.7151e-11
       283          124406        0.664822    -2.76244e-11
       284          124406         0.66956    -2.80996e-11
       285          124406        0.674314    -2.85805e-11
       286          124406        0.679085    -2.90621e-11
       287          124406        0.683873    -2.95442e-11
       288          124406        0.688678    -3.00362e-11
       289          124406          0.6935    -3.05295e-11
       290          124406        0.698339    -3.10215e-11
       291          124406        0.703194    -3.15252e-11
       292          124406        0.708067    -3.20273e-11
       293          124406        0.712956    -3.25346e-11
       294          124406        0.717862    -3.30432e-11
       295          124406        0.722785    -3.35599e-11
       296          124406        0.727725    -3.40764e-11
       297          124406        0.732682    -3.45982e-11
       298          124406        0.737656    -3.51226e-11
       299          124406        0.742647    -3.56478e-11
       300          124406        0.747654    -3.61789e-11
       301          124406        0.752679    -3.67123e-11
       302          124406         0.75772    -3.72542e-11
       303          124406        0.762778    -3.77956e-11
       304          124406        0.767853     -3.8338e-11
       305          124406        0.772945    -3.88896e-11
       306          124406        0.778054     -3.9444e-11
       307          124406         0.78318    -4.00021e-11
       308          124406        0.788323    -4.05583e-11
       309          124406        0.793482    -4.11233e-11
       310          124406        0.798659      -4.169e-11
       311          124406        0.803852    -4.22632e-11
       312          124406        0.809063    -4.28356e-11
       313          124406         0.81429    -4.34163e-11
       314          124406        0.819534     -4.3997e-11
       315          124406        0.824795    -4.45821e-11
       316          124406        0.830073    -4.51715e-11
       317          124406        0.835368    -4.57634e-11
       318          124406         0.84068    -4.63619e-11
       319          124406        0.846008     -4.6964e-11
       320          124406        0.851354    -4.75688e-11
       321          124406        0.856716    -4.81766e-11
       322          124406        0.862096    -4.87898e-11
       323          124406        0.867492    -4.94075e-11
       324          124406        0.872905    -5.00269e-11
       325          124406        0.878335    -5.06516e-11
       326          124406        0.883782    -5.12798e-11
       327          124406        0.889246    -5.19104e-11
       328          124406        0.894727    -5.25455e-11
       329          124406        0.900225     -5.3184e-11
       330          124406         0.90574    -5.38304e-11
       331          124406        0.911271    -5.44763e-11
       332          124406         0.91682    -5.51267e-11
       333          124406        0.922386    -5.57799e-11
       334          124406        0.927968    -5.64415e-11
       335          124406        0.933567    -5.71023e-11
       336          124406        0.939184    -5.77695e-11
       337          124406        0.944817    -5.84411e-11
       338          124406        0.950467     -5.9117e-11
       339          124406        0.956134    -5.97938e-11
       340          124406        0.961818    -6.04788e-11
       341          124406        0.967519    -6.11646e-11
       342          124406        0.973237    -6.18582e-11
       343          124406        0.978971    -6.25531e-11
       344          124406        0.984723    -6.32537e-11
       345          124405        0.990492    -6.39541e-11
       346          124405        0.996277    -6.46629e-11
       347          124405         1.00208     -6.5376e-11
       348          124405          1.0079      -6.609e-11
       349          124405         1.01374    -6.68136e-11
       350          124405         1.01959    -6.75344e-11
       351          124405         1.02546    -6.82666e-11
       352          124405         1.03135    -6.89953e-11
       353          124405         1.03725    -6.97328e-11
